0	null (zero)	ноль
1	one	один
2	two	два
3	three	три
4	four	четыре
5	five	пять
6	six	шесть
7	seven	семь
8	eight	восемь
9	nine	девять
10	ten	десять
11	eleven	одиннадцать
12	twelve	двенадцать
13	thirteen	тринадцать
14	fourteen	четырнадцать
15	fifteen	пятнадцать
16	sixteen	шестнадцать
17	seventeen	семнадцать
18	eighteen	восемнадцать
19	nineteen	девятнадцать
20	twenty	двадцать
21	twenty-one	двадцать один
22	twenty-two	двадцать два
23	twenty-three	двадцать три
24	twenty-four	двадцать четыре
25	twenty-five	двадцать пять
26	twenty-six	двадцать шесть
27	twenty-seven	двадцать семь
28	twenty-eight	двадцать восемь
29	twenty-nine	двадцать девять
30	thirty	тридцать
31	thirty-one	тридцать один
32	thirty-two	тридцать два
33	thirty-three	тридцать три
34	thirty-four	тридцать четыре
35	thirty-five	тридцать пять
36	thirty-six	тридцать шесть
37	thirty-seven	тридцать семь
38	thirty-eight	тридцать восемь
39	thirty-nine	тридцать девять
40	forty	сорок
41	forty-one	сорок один
42	forty-two	сорок два
43	forty-three	сорок три
44	forty-four	сорок четыре
45	forty-five	сорок пять
46	forty-six	сорок шесть
47	forty-seven	сорок семь
48	forty-eight	сорок восемь
49	forty-nine	сорок девять
50	fifty	пятьдесят
51	fifty-one	пятьдесят один
52	fifty-two	пятьдесят два
53	fifty-three	пятьдесят три
54	fifty-four	пятьдесят четыре
55	fifty-five	пятьдесят пять
56	fifty-six	пятьдесят шесть
57	fifty-seven	пятьдесят семь
58	fifty-eight	пятьдесят восемь
59	fifty-nine	пятьдесят девять
60	sixty	шестьдесят
61	sixty-one	шестьдесят один
62	sixty-two	шестьдесят два
63	sixty-three	шестьдесят три
64	sixty-four	шестьдесят четыре
65	sixty-five	шестьдесят пять
66	sixty-six	шестьдесят шесть
67	sixty-seven	шестьдесят семь
68	sixty-eight	шестьдесят восемь
69	sixty-nine	шестьдесят девять
70	seventy	семьдесят
71	seventy-one	семьдесят один
72	seventy-two	семьдесят два
73	seventy-three	семьдесят три
74	seventy-four	семьдесят четыре
75	seventy-five	семьдесят пять
76	seventy-six	семьдесят шесть
77	seventy-seven	семьдесят семь
78	seventy-eight	семьдесят восемь
79	seventy-nine	семьдесят девять
80	eighty	восемьдесят
81	eighty-one	восемьдесят один
82	eighty-two	восемьдесят два
83	eighty-three	восемьдесят три
84	eighty-four	восемьдесят четыре
85	eighty-five	восемьдесят пять
86	eighty-six	восемьдесят шесть
87	eighty-seven	восемьдесят семь
88	eighty-eight	восемьдесят восемь
89	eighty-nine	восемьдесят девять
90	ninety	девяносто
91	ninety-one	девяносто один
92	ninety-two	девяносто два
93	ninety-three	девяносто три
94	ninety-four	девяносто четыре
95	ninety-five	девяносто пять
96	ninety-six	девяносто шесть
97	ninety-seven	девяносто семь
98	ninety-eight	девяносто восемь
99	ninety-nine	девяносто девять
100	one hundred	сто
101	one hundred and one	сто один
102	one hundred and two	сто два
103	one hundred and three	сто три
104	one hundred and four	сто четыре
105	one hundred and five	сто пять
106	one hundred and six	сто шесть
107	one hundred and seven	сто семь
108	one hundred and eight	сто восемь
109	one hundred and nine	сто девять
110	one hundred and ten	сто десять
111	one hundred and eleven	сто одиннадцать
112	one hundred and twelve	сто двенадцать
113	one hundred and thirteen	сто тринадцать
114	one hundred and fourteen	сто четырнадцать
115	one hundred and fifteen	сто пятнадцать
116	one hundred and sixteen	сто шестнадцать
117	one hundred and seventeen	сто семнадцать
118	one hundred and eighteen	сто восемнадцать
119	one hundred and nineteen	сто девятнадцать
120	one hundred and twenty	сто двадцать
121	one hundred and twenty-one	сто двадцать один
122	one hundred and twenty-two	сто двадцать два
123	one hundred and twenty-three	сто двадцать три
124	one hundred and twenty-four	сто двадцать четыре
125	one hundred and twenty-five	сто двадцать пять
126	one hundred and twenty-six	сто двадцать шесть
127	one hundred and twenty-seven	сто двадцать семь
128	one hundred and twenty-eight	сто двадцать восемь
129	one hundred and twenty-nine	сто двадцать девять
130	one hundred and thirty	сто тридцать
131	one hundred and thirty-one	сто тридцать один
132	one hundred and thirty-two	сто тридцать два
133	one hundred and thirty-three	сто тридцать три
134	one hundred and thirty-four	сто тридцать четыре
135	one hundred and thirty-five	сто тридцать пять
136	one hundred and thirty-six	сто тридцать шесть
137	one hundred and thirty-seven	сто тридцать семь
138	one hundred and thirty-eight	сто тридцать восемь
139	one hundred and thirty-nine	сто тридцать девять
140	one hundred and forty	сто сорок
141	one hundred and forty-one	сто сорок один
142	one hundred and forty-two	сто сорок два
143	one hundred and forty-three	сто сорок три
144	one hundred and forty-four	сто сорок четыре
145	one hundred and forty-five	сто сорок пять
146	one hundred and forty-six	сто сорок шесть
